ye case.dat
lerinkinindirler num.pl,case.gen,<ki>,case.gen,cop.gen.3p.pl
lerinkininlerdir num.pl,case.gen,<ki>,case.gen,cop.gen.3p.pl
lerinkininim num.pl,case.gen,<ki>,case.gen,cop.pres,v1s
lerinkininsin num.pl,case.gen,<ki>,case.gen,cop.pres,v2s
lerinkininiz num.pl,case.gen,<ki>,case.gen,cop.pres,v1p
lerinkininsiniz num.pl,case.gen,<ki>,case.gen,cop.pres,v2p
lerinkininler num.pl,case.gen,<ki>,case.gen,cop.pres,v3p
lerinkininsem num.pl,case.gen,<ki>,case.gen,cop.cond,v1s
lerinkininsen num.pl,case.gen,<ki>,case.gen,cop.cond,v2s
lerinkininse num.pl,case.gen,<ki>,case.gen,cop.cond,v3s
lerinkininsek num.pl,case.gen,<ki>,case.gen,cop.cond,v1p
lerinkininseniz num.pl,case.gen,<ki>,case.gen,cop.cond,v2p
lerinkininseler num.pl,case.gen,<ki>,case.gen,cop.cond,v3p
lerinkinindim num.pl,case.gen,<ki>,case.gen,cop.past,v1s
lerinkinindin num.pl,case.gen,<ki>,case.gen,cop.past,v2s
lerinkinindi num.pl,case.gen,<ki>,case.gen,cop.past,v3s
lerinkinindik num.pl,case.gen,<ki>,case.gen,cop.past,v1p
lerinkinindiniz num.pl,case.gen,<ki>,case.gen,cop.past,v2p
lerinkininlerdi num.pl,case.gen,<ki>,case.gen,cop.past,v3p
lerinkinindiler num.pl,case.gen,<ki>,case.gen,cop.past,v3p
lerinkininmişim num.pl,case.gen,<ki>,case.gen,cop.evid,v1s
lerinkininmişsin num.pl,case.gen,<ki>,case.gen,cop.evid,v2s
lerinkininmiş num.pl,case.gen,<ki>,case.gen,cop.evid,v3s
lerinkininmişiz num.pl,case.gen,<ki>,case.gen,cop.evid,v1p
lerinkininmişsiniz num.pl,case.gen,<ki>,case.gen,cop.evid,v2p
lerinkininmişler num.pl,case.gen,<ki>,case.gen,cop.evid,v3p
lerinkininlermiş num.pl,case.gen,<ki>,case.gen,cop.evid,v3p
lerinkilerken num.pl,case.gen,<ki>,num.pl,converb
lerinkilerken num.pl,case.gen,<ki>,cop.cond,v3p,converb
lerinkilerkenki num.pl,case.gen,<ki>,num.pl,converb,<ki>,num.pl,converb
lerinkilerkenki num.pl,case.gen,<ki>,cop.cond,v3p,converb,<ki>
lerinkilerimdir num.pl,case.gen,<ki>,num.pl,cop.gen.1p.sg
lerinkilersindir num.pl,case.gen,<ki>,num.pl,cop.gen.2p.sg
lerinkilerdir num.pl,case.gen,<ki>,num.pl,cop.gen.3p.sg
lerinkilerizdir num.pl,case.gen,<ki>,num.pl,cop.gen.1p.pl
lerinkilersinizdir num.pl,case.gen,<ki>,num.pl,cop.gen.2p.pl
lerinkilerdirler num.pl,case.gen,<ki>,num.pl,cop.gen.3p.pl
lerinkilerim num.pl,case.gen,<ki>,num.pl,cop.pres,v1s
lerinkilersin num.pl,case.gen,<ki>,num.pl,cop.pres,v2s
lerinkileriz num.pl,case.gen,<ki>,num.pl,cop.pres,v1p
lerinkilersiniz num.pl,case.gen,<ki>,num.pl,cop.pres,v2p
lerinkilerdim num.pl,case.gen,<ki>,num.pl,cop.past,v1s
lerinkilerdin num.pl,case.gen,<ki>,num.pl,cop.past,v2s
lerinkilerdi num.pl,case.gen,<ki>,num.pl,cop.past,v3s
lerinkilerdik num.pl,case.gen,<ki>,num.pl,cop.past,v1p
lerinkilerdiniz num.pl,case.gen,<ki>,num.pl,cop.past,v2p
lerinkilerdiler num.pl,case.gen,<ki>,num.pl,cop.past,v3p
lerinkilermişim num.pl,case.gen,<ki>,num.pl,cop.evid,v1s
lerinkilermişsin num.pl,case.gen,<ki>,num.pl,cop.evid,v2s
lerinkilermiş num.pl,case.gen,<ki>,num.pl,cop.evid,v3s
lerinkilermişiz num.pl,case.gen,<ki>,num.pl,cop.evid,v1p
lerinkilermişsiniz num.pl,case.gen,<ki>,num.pl,cop.evid,v2p
lerinkilermişler num.pl,case.gen,<ki>,num.pl,cop.evid,v3p
lerinkileriyken num.pl,case.gen,<ki>,num.pl,case.acc,converb
lerinkileriykenki num.pl,case.gen,<ki>,num.pl,case.acc,converb,<ki>
lerinkileriysem num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v1s
lerinkileriysen num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v2s
lerinkileriyse num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v3s
lerinkileriysek num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v1p
lerinkileriyseniz num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v2p
lerinkileriyseler num.pl,case.gen,<ki>,num.pl,case.acc,cop.cond,v3p
lerinkileriyim num.pl,case.gen,<ki>,num.pl,case.acc,cop.pres,v1s
lerinkilerisin num.pl,case.gen,<ki>,num.pl,case.acc,cop.pres,v2s
lerinkileriyiz num.pl,case.gen,<ki>,num.pl,case.acc,cop.pres,v1p
lerinkilerisiniz num.pl,case.gen,<ki>,num.pl,case.acc,cop.pres,v2p
lerinkileriler num.pl,case.gen,<ki>,num.pl,case.acc,cop.pres,v3p
lerinkileriydim num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v1s
lerinkileriydin num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v2s
lerinkileriydi num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v3s
lerinkileriydik num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v1p
lerinkileriydiniz num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v2p
lerinkileriydiler num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v3p
lerinkilerilerdi num.pl,case.gen,<ki>,num.pl,case.acc,cop.past,v3p
lerinkileriymişim num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v1s
lerinkileriymişsin num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v2s
lerinkileriymiş num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v3s
lerinkileriymişiz num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v1p
lerinkileriymişsiniz num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v2p
lerinkileriymişler num.pl,case.gen,<ki>,num.pl,case.acc,cop.evid,v3p
lerinkileriyimdir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.1p.sg
lerinkilerisindir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.2p.sg
lerinkileridir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.3p.sg
lerinkileriyizdir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.1p.pl
lerinkilerisinizdir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.2p.pl
lerinkileridirler num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.3p.pl
lerinkilerilerdir num.pl,case.gen,<ki>,num.pl,case.acc,cop.gen.3p.pl
lerinkilereyken num.pl,case.gen,<ki>,num.pl,case.dat,converb
lerinkilereykenki num.pl,case.gen,<ki>,num.pl,case.dat,converb,<ki>,num.pl
lerinkilereysem num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v1s
lerinkilereysen num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v2s
lerinkilereyse num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v3s
lerinkilereysek num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v1p
lerinkilereyseniz num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v2p
lerinkilereyseler num.pl,case.gen,<ki>,num.pl,case.dat,cop.cond,v3p
lerinkilereyim num.pl,case.gen,<ki>,num.pl,case.dat,cop.pres,v1s
lerinkileresin num.pl,case.gen,<ki>,num.pl,case.dat,cop.pres,v2s
lerinkilereyiz num.pl,case.gen,<ki>,num.pl,case.dat,cop.pres,v1p
lerinkileresiniz num.pl,case.gen,<ki>,num.pl,case.dat,cop.pres,v2p
lerinkilereler num.pl,case.gen,<ki>,num.pl,case.dat,cop.pres,v3p
lerinkilereydim num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v1s
lerinkilereydin num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v2s
lerinkilereydi num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v3s
lerinkilereydik num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v1p
lerinkilereydiniz num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v2p
lerinkilereydiler num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v3p
lerinkilerelerdi num.pl,case.gen,<ki>,num.pl,case.dat,cop.past,v3p
lerinkilereymişim num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v1s
lerinkilereymişsin num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v2s
lerinkilereymiş num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v3s
lerinkilereymişiz num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v1p
lerinkilereymişsiniz num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v2p
lerinkilereymişler num.pl,case.gen,<ki>,num.pl,case.dat,cop.evid,v3p
lerinkilereyimdir num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.1p.sg
lerinkileresindir num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.2p.sg
lerinkileredir num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.3p.sg
lerinkilereyizdir num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.1p.pl
lerinkileresinizdir num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.2p.pl
lerinkileredirler num.pl,case.gen,<ki>,num.pl,case.dat,cop.gen.3p.pl
lerinkilerdeyken num.pl,case.gen,<ki>,num.pl,case.loc,converb
lerinkilerdeykenki num.pl,case.gen,<ki>,num.pl,case.loc,converb,<ki>
lerinkilerdeyimdir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.1p.sg
lerinkilerdesindir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.2p.sg
lerinkilerdedir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.3p.sg
lerinkilerdeyizdir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.1p.pl
lerinkilerdesinizdir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.2p.pl
lerinkilerdedirler num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.3p.pl
lerinkilerdelerdir num.pl,case.gen,<ki>,num.pl,case.loc,cop.gen.3p.pl
lerinkilerdeyim num.pl,case.gen,<ki>,num.pl,case.loc,cop.pres,v1s
lerinkilerdesin num.pl,case.gen,<ki>,num.pl,case.loc,cop.pres,v2s
lerinkilerdeyiz num.pl,case.gen,<ki>,num.pl,case.loc,cop.pres,v1p
lerinkilerdesiniz num.pl,case.gen,<ki>,num.pl,case.loc,cop.pres,v2p
lerinkilerdeler num.pl,case.gen,<ki>,num.pl,case.loc,cop.pres,v3p
lerinkilerdeysem num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v1s
lerinkilerdeysen num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v2s
lerinkilerdeyse num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v3s
lerinkilerdeysek num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v1p
lerinkilerdeyseniz num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v2p
lerinkilerdeyseler num.pl,case.gen,<ki>,num.pl,case.loc,cop.cond,v3p
lerinkilerdeydim num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v1s
lerinkilerdeydin num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v2s
lerinkilerdeydi num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v3s
lerinkilerdeydik num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v1p
lerinkilerdeydiniz num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v2p
lerinkilerdelerdi num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v3p
lerinkilerdeydiler num.pl,case.gen,<ki>,num.pl,case.loc,cop.past,v3p
lerinkilerdeymişim num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v1s
lerinkilerdeymişsin num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v2s
lerinkilerdeymiş num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v3s
lerinkilerdeymişiz num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v1p
lerinkilerdeymişsiniz num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v2p
lerinkilerdeymişler num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v3p
lerinkilerdelermiş num.pl,case.gen,<ki>,num.pl,case.loc,cop.evid,v3p
lerinkilerdenken num.pl,case.gen,<ki>,num.pl,case.abl,converb
lerinkilerdenkenki num.pl,case.gen,<ki>,num.pl,case.abl,converb,<ki>
lerinkilerdenimdir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.1p.sg
lerinkilerdensindir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.2p.sg
lerinkilerdendir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.sg
lerinkilerdenizdir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.1p.pl
lerinkilerdensinizdir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.2p.pl
lerinkilerdendirler num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.pl
lerinkilerdenlerdir num.pl,case.gen,<ki>,num.pl,case.abl,cop.gen.3p.pl
lerinkilerdenim num.pl,case.gen,<ki>,num.pl,case.abl,cop.pres,v1s
lerinkilerdensin num.pl,case.gen,<ki>,num.pl,case.abl,cop.pres,v2s
lerinkilerdenyiz num.pl,case.gen,<ki>,num.pl,case.abl,cop.pres,v1p
lerinkilerdensiniz num.pl,case.gen,<ki>,num.pl,case.abl,cop.pres,v2p
lerinkilerdenler num.pl,case.gen,<ki>,num.pl,case.abl,cop.pres,v3p
lerinkilerdensem num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v1s
lerinkilerdensen num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v2s
lerinkilerdense num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v3s
lerinkilerdensek num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v1p
lerinkilerdenseniz num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v2p
lerinkilerdenseler num.pl,case.gen,<ki>,num.pl,case.abl,cop.cond,v3p
lerinkilerdendim num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v1s
lerinkilerdendin num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v2s
lerinkilerdendi num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v3s
lerinkilerdendik num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v1p
lerinkilerdendiniz num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v2p
lerinkilerdenlerdi num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v3p
lerinkilerdendiler num.pl,case.gen,<ki>,num.pl,case.abl,cop.past,v3p
lerinkilerdenmişim num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v1s
lerinkilerdenmişsin num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v2s
lerinkilerdenmiş num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v3s
lerinkilerdenmişiz num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v1p
lerinkilerdenmişsiniz num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v2p
lerinkilerdeymişler num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v3p
lerinkilerdenlermiş num.pl,case.gen,<ki>,num.pl,case.abl,cop.evid,v3p
lerinkilerleyken num.pl,case.gen,<ki>,num.pl,case.instr,converb
lerinkilerleykenki num.pl,case.gen,<ki>,num.pl,case.instr,converb,<ki>
lerinkilerleyimdir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.1p.sg
lerinkilerlesindir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.2p.sg
lerinkilerledir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.sg
lerinkilerleyizdir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.1p.pl
lerinkilerlesinizdir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.2p.pl
lerinkilerledirler num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.pl
lerinkilerlelerdir num.pl,case.gen,<ki>,num.pl,case.instr,cop.gen.3p.pl
lerinkilerleyim num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v1s
lerinkilerlesin num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v2s
lerinkilerleyiz num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v1p
lerinkilerlesiniz num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v2p
lerinkilerleler num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v3p
lerinkilerlelerken num.pl,case.gen,<ki>,num.pl,case.instr,cop.pres,v3p,converb
lerinkilerlelerse num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v3p
lerinkilerleysem num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v1s
lerinkilerleysen num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v2s
lerinkilerleyse num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v3s
lerinkilerleysek num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v1p
lerinkilerleyseniz num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v2p
lerinkilerleyseler num.pl,case.gen,<ki>,num.pl,case.instr,cop.cond,v3p
lerinkilerleydim num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v1s
lerinkilerleydin num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v2s
lerinkilerleydi num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v3s
lerinkilerleydik num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v1p
lerinkilerleydiniz num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v2p
lerinkilerlelerdi num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v3p
lerinkilerleydiler num.pl,case.gen,<ki>,num.pl,case.instr,cop.past,v3p
lerinkilerleymişim num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v1s
lerinkilerleymişsin num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v2s
lerinkilerleymiş num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v3s
lerinkilerleymişiz num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v1p
lerinkilerleymişsiniz num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v2p
lerinkilerleymişler num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v3p
lerinkilerlelermiş num.pl,case.gen,<ki>,num.pl,case.instr,cop.evid,v3p
lerinkilerinken num.pl,case.gen,<ki>,num.pl,case.gen,converb
lerinkilerinkenki num.pl,case.gen,<ki>,num.pl,case.gen,converb,<ki>
lerinkilerinimdir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.1p.sg
lerinkilerinsindir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.2p.sg
lerinkilerindir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.sg
lerinkilerinizdir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.1p.pl
lerinkilerinsinizdir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.2p.pl
lerinkilerindirler num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.pl
lerinkilerinlerdir num.pl,case.gen,<ki>,num.pl,case.gen,cop.gen.3p.pl
lerinkilerinim num.pl,case.gen,<ki>,num.pl,case.gen,cop.pres,v1s
lerinkilerinsin num.pl,case.gen,<ki>,num.pl,case.gen,cop.pres,v2s
lerinkileriniz num.pl,case.gen,<ki>,num.pl,case.gen,cop.pres,v1p
lerinkilerinsiniz num.pl,case.gen,<ki>,num.pl,case.gen,cop.pres,v2p
lerinkilerinler num.pl,case.gen,<ki>,num.pl,case.gen,cop.pres,v3p
lerinkilerinsem num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v1s
lerinkilerinsen num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v2s
lerinkilerinse num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v3s
lerinkilerinsek num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v1p
lerinkilerinseniz num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v2p
lerinkilerinseler num.pl,case.gen,<ki>,num.pl,case.gen,cop.cond,v3p
lerinkilerindim num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v1s
lerinkilerindin num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v2s
lerinkilerindi num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v3s
lerinkilerindik num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v1p
lerinkilerindiniz num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v2p
lerinkilerinlerdi num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v3p
lerinkilerindiler num.pl,case.gen,<ki>,num.pl,case.gen,cop.past,v3p
lerinkilerinmişim num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v1s
lerinkilerinmişsin num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v2s
lerinkilerinmiş num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v3s
lerinkilerinmişiz num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v1p
lerinkilerinmişsiniz num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v2p
lerinkilerinmişler num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v3p
lerinkilerinlermiş num.pl,case.gen,<ki>,num.pl,case.gen,cop.evid,v3p
lermişimcesine num.pl,cop.evid.conv.1p.sg
lermişsincesine num.pl,cop.evid.conv.2p.sg
lermişçesine num.pl,cop.evid.conv.3p.sg
lermişizcesine num.pl,cop.evid.conv.1p.pl
lermişsinizcesine num.pl,cop.evid.conv.2p.pl
lermişlercesine num.pl,cop.evid.conv.3p.pl
lerinmişimcesine num.pl,case.gen,cop.evid.conv.1p.sg
lerinmişsincesine num.pl,case.gen,cop.evid.conv.2p.sg
lerinmişçesine num.pl,case.gen,cop.evid.conv.3p.sg
lerinmişizcesine num.pl,case.gen,cop.evid.conv.1p.pl
lerinmişsinizcesine num.pl,case.gen,cop.evid.conv.2p.pl
lerinmişlercesine num.pl,case.gen,cop.evid.conv.3p.pl
lerinlermişçesine num.pl,case.gen,cop.evid.conv.3p.pl
lerleymişimcesine num.pl,case.instr,cop.evid.conv.1p.sg
lerleymişsincesine num.pl,case.instr,cop.evid.conv.2p.sg
lerleymişçesine num.pl,case.instr,cop.evid.conv.3p.sg
lerleymişizcesine num.pl,case.instr,cop.evid.conv.1p.pl
lerleymişsinizcesine num.pl,case.instr,cop.evid.conv.2p.pl
lerleymişlercesine num.pl,case.instr,cop.evid.conv.3p.pl
lerlelermişçesine num.pl,case.instr,cop.evid.conv.3p.pl
lerinkiymişimcesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.1p.sg
lerinkiymişsincesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.2p.sg
lerinkiymişçesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.sg
lerinkiymişizcesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.1p.pl
lerinkiymişsinizcesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.2p.pl
lerinkiymişlercesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.pl
lerinkilermişçesine num.pl,case.gen,<ki>,num.sg,case.nom,cop.evid.conv.3p.pl
lerinkilermişimcesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.1p.sg
lerinkilermişsincesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.2p.sg
lerinkilermişçesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.3p.sg
lerinkilermişizcesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.1p.pl
lerinkilermişsinizcesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.2p.pl
lerinkilermişlercesine num.pl,case.gen,<ki>,num.pl,case.nom,cop.evid.conv.3p.pl
lerdeymişimcesine num.pl,num.sg,case.loc,cop.evid.conv.1p.sg
lerdeymişsincesine num.pl,num.sg,case.loc,cop.evid.conv.2p.sg
lerdeymişçesine num.pl,num.sg,cop.evid.conv.3p.sg
lerdeymişizcesine num.pl,num.sg,cop.evid.conv.1p.pl
lerdeymişsinizcesine num.pl,num.sg,cop.evid.conv.2p.pl
lerdeymişlercesine num.pl,num.sg,cop.evid.conv.3p.pl
lerdelermişçesine num.pl,num.sg,cop.evid.conv.3p.pl
lerdelermişimcesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.1p.sg
lerdelermişsincesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.2p.sg
lerdelermişçesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.3p.sg
lerdelermişizcesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.1p.pl
lerdelermişsinizcesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.2p.pl
lerdelermişlercesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.3p.pl
lerdelermişçesine num.pl,case.loc,cop.pres,v3p,cop.evid.conv.3p.pl
lerdekiymişimcesine num.pl,case.loc,<ki>,cop.evid.conv.1p.sg
lerdekiymişsincesine num.pl,case.loc,<ki>,cop.evid.conv.2p.sg
lerdekiymişçesine num.pl,case.loc,<ki>,cop.evid.conv.3p.sg
lerdekiymişizcesine num.pl,case.loc,<ki>,cop.evid.conv.1p.pl
lerdekiymişsinizcesine num.pl,case.loc,<ki>,cop.evid.conv.2p.pl
lerdekiymişlercesine num.pl,case.loc,<ki>,cop.evid.conv.3p.pl
lerdekilermişçesine num.pl,case.loc,<ki>,cop.evid.conv.3p.pl
lerdekineymişçesine num.pl,case.loc,<ki>,case.dat,cop.evid.conv.3p.sg
lerdekindeymişçesine num.pl,case.loc,<ki>,case.loc,cop.evid.conv.3p.sg
lerdekindenmişimcesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.1p.sg
lerdekindenmişsincesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.2p.sg
lerdekindenmişçesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.3p.sg
lerdekindenmişizcesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.1p.pl
lerdekindenmişsinizcesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.2p.pl
lerdekindenmişlercesine num.pl,case.loc,<ki>,case.abl,cop.evid.conv.3p.pl
lerdekilerinmişimcesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.1p.sg
lerdekilerinmişsincesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.2p.sg
lerdekilerinmişçesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.3p.sg
lerdekilerinmişizcesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.1p.pl
lerdekilerinmişsinizcesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.2p.pl
lerdekilerinmişlercesine num.pl,case.loc,<ki>,num.pl,case.gen,case.abl,cop.evid.conv.3p.pl
