ye case.dat
yleydi case.instr,cop.past,v3s
yleydik case.instr,cop.past,v1p
yleydiniz case.instr,cop.past,v2p
yleydiler case.instr,cop.past,v3p
ylelerdi case.instr,cop.past,v3p
yleymişim case.instr,cop.evid,v1s
yleymişsin case.instr,cop.evid,v2s
yleymiş case.instr,cop.evid,v3s
yleymişiz case.instr,cop.evid,v1p
yleymişsiniz case.instr,cop.evid,v2p
yleymişler case.instr,cop.evid,v3p
yleyimdir case.instr,cop.gen.1p.sg
ylesindir case.instr,cop.gen.2p.sg
yledir case.instr,cop.gen.3p.sg
yleyizdir case.instr,cop.gen.1p.pl
ylesinizdir case.instr,cop.gen.2p.pl
yledirler case.instr,cop.gen.3p.pl
ylelerdir case.instr,cop.gen.3p.pl
 case.nom
yken case.nom,converb
ykenki case.nom,converb,<ki>
yimdir case.nom,cop.gen.1p.sg
sindir case.nom,cop.gen.2p.sg
dir case.nom,cop.gen.3p.sg
yizdir case.nom,cop.gen.1p.pl
sinizdir case.nom,cop.gen.2p.pl
dirler case.nom,cop.gen.3p.pl
lerdir case.nom,cop.gen.3p.pl
yim case.nom,cop.pres,v1s
sin case.nom,cop.pres,v2s
yiz case.nom,cop.pres,v1p
siniz case.nom,cop.pres,v2p
ler case.nom,cop.pres,v3p
lerken case.nom,cop.pres,v3p,converb
ysem case.nom,cop.cond,v1s
ysen case.nom,cop.cond,v2s
yse case.nom,cop.cond,v3s
ysek case.nom,cop.cond,v1p
yseniz case.nom,cop.cond,v2p
yseler case.nom,cop.cond,v3p
lerse case.nom,cop.cond,v3p
ydim case.nom,cop.past,v1s
ydin case.nom,cop.past,v2s
ydi case.nom,cop.past,v3s
ydik case.nom,cop.past,v1p
ydiniz case.nom,cop.past,v2p
lerdi case.nom,cop.past,v3p
ydiler case.nom,cop.past,v3p
ymişim case.nom,cop.evid,v1s
ymişsin case.nom,cop.evid,v2s
ymiş case.nom,cop.evid,v3s
ymişiz case.nom,cop.evid,v1p
ymişsiniz case.nom,cop.evid,v2p
ymişler case.nom,cop.evid,v3p
lermiş case.nom,cop.evid,v3p
nin case.gen
ninken case.gen,converb
ninkenki case.gen,converb,<ki>
nindi case.gen,cop.past,v3s
nindik case.gen,cop.past,v1p
nindiler case.gen,cop.past,v3p
nindim case.gen,cop.past,v1s
nindin case.gen,cop.past,v2s
nindiniz case.gen,cop.past,v2p
ninimdir case.gen,cop.gen.1p.sg
ninsindir case.gen,cop.gen.2p.sg
nindir case.gen,cop.gen.3p.sg
ninizdir case.gen,cop.gen.1p.pl
ninsinizdir case.gen,cop.gen.2p.pl
nindirler case.gen,cop.gen.3p.pl
ninlerdir case.gen,cop.gen.3p.pl
ninim case.gen,cop.pres,v1s
ninsin case.gen,cop.pres,v2s
niniz case.gen,cop.pres,v1p
ninsiniz case.gen,cop.pres,v2p
ninler case.gen,cop.pres,v3p
ninse case.gen,cop.cond,v3s
ninsek case.gen,cop.cond,v1p
ninseler case.gen,cop.cond,v3p
ninlerse case.gen,cop.cond,v3p
ninsem case.gen,cop.cond,v1s
ninsen case.gen,cop.cond,v2s
ninseniz case.gen,cop.cond,v2p
ninmişim case.gen,cop.evid,v1s
ninmişsin case.gen,cop.evid,v2s
ninmiş case.gen,cop.evid,v3s
ninmişiz case.gen,cop.evid,v1p
ninmişsiniz case.gen,cop.evid,v2p
ninmişler case.gen,cop.evid,v3p
ninlermiş case.gen,cop.evid,v3p
ninlerdi case.gen,cop.past,v3p
ninlerdir case.gen,cop.gen.3p.sg
ninlerse case.gen,cop.pres,v3p,cop.cond,v3s
ninlerken case.gen,cop.pres,v3p,converb
deki case.loc,<ki>
dekiyken case.loc,<ki>,converb
dekini case.loc,<ki>,case.acc
dekinin case.loc,<ki>,case.gen
dekine case.loc,<ki>,case.dat
dekinde case.loc,<ki>,case.loc
dekinden case.loc,<ki>,case.abl
dekiyle case.loc,<ki>,case.instr
dekiler case.loc,<ki>,num.pl
dekileri case.loc,<ki>,num.pl,case.acc
dekilere case.loc,<ki>,num.pl,case.dat
dekilerin case.loc,<ki>,num.pl,case.gen
dekilerinki case.loc,<ki>,num.pl,case.gen,<ki>
dekilerde case.loc,<ki>,num.pl,case.loc
dekilerden case.loc,<ki>,num.pl,case.abl
dekilerle case.loc,<ki>,num.pl,case.instr
ninki case.gen,<ki>,num.sg,case.nom
ninkinde case.gen,<ki>,num.sg,case.loc
ninkinden case.gen,<ki>,num.sg,case.abl
ninkine case.gen,<ki>,num.sg,case.dat
ninkini case.gen,<ki>,num.sg,case.acc
ninkinin case.gen,<ki>,num.sg,case.gen
ninkininki case.gen,<ki>,num.sg,case.gen,<ki>
ninkiyle case.gen,<ki>,num.sg,case.instr
ninkiyleyken case.gen,<ki>,num.sg,case.instr,converb
ninkiyken case.gen,<ki>,converb
ninkiysem case.gen,<ki>,cop.cond,v1s
ninkiysen case.gen,<ki>,cop.cond,v2s
ninkiyse case.gen,<ki>,cop.cond,v3s
ninkiysek case.gen,<ki>,cop.cond,v1p
ninkiyseniz case.gen,<ki>,cop.cond,v2p
ninkiyseler case.gen,<ki>,cop.cond,v3p
ninkiler case.gen,<ki>,num.pl,case.nom
ninkiler case.gen,<ki>,cop.pres,v3p
ninkilersem case.gen,<ki>,num.pl,cop.cond,v1s
ninkilersen case.gen,<ki>,num.pl,cop.cond,v2s
ninkilerse case.gen,<ki>,num.pl,cop.cond,v3s
ninkilersek case.gen,<ki>,num.pl,cop.cond,v1p
ninkilerseniz case.gen,<ki>,num.pl,cop.cond,v2p
ninkilerseler case.gen,<ki>,num.pl,cop.cond,v3p
ninkilerde case.gen,<ki>,num.pl,case.loc
ninkilerden case.gen,<ki>,num.pl,case.abl
ninkilere case.gen,<ki>,num.pl,case.dat
ninkileri case.gen,<ki>,num.pl,case.acc
ninkilerin case.gen,<ki>,num.pl,case.gen
ninkilerinki case.gen,<ki>,num.pl,case.gen,<ki>
ninkilerle case.gen,<ki>,num.pl,case.instr
dekiykenki case.loc,<ki>,converb,<ki>
dekiyimdir case.loc,<ki>,cop.gen.1p.sg
dekisindir case.loc,<ki>,cop.gen.2p.sg
dekidir case.loc,<ki>,cop.gen.3p.sg
dekiyizdir case.loc,<ki>,cop.gen.1p.pl
dekisinizdir case.loc,<ki>,cop.gen.2p.pl
dekidirler case.loc,<ki>,cop.gen.3p.pl
dekilerdir case.loc,<ki>,cop.gen.3p.pl
dekiyim case.loc,<ki>,cop.pres,v1s
dekisin case.loc,<ki>,cop.pres,v2s
dekiyiz case.loc,<ki>,cop.pres,v1p
dekisiniz case.loc,<ki>,cop.pres,v2p
dekiler case.loc,<ki>,cop.pres,v3p
dekilersem case.loc,<ki>,cop.pres,v3p,cop.cond,v1s
dekilersen case.loc,<ki>,cop.pres,v3p,cop.cond,v2s
dekilerse case.loc,<ki>,cop.pres,v3p,cop.cond,v3s
dekilersek case.loc,<ki>,cop.pres,v3p,cop.cond,v1p
dekilerseniz case.loc,<ki>,cop.pres,v3p,cop.cond,v2p
dekilerseler case.loc,<ki>,cop.pres,v3p,cop.cond,v3p
dekiysem case.loc,<ki>,cop.cond,v1s
dekiysen case.loc,<ki>,cop.cond,v2s
dekiyse case.loc,<ki>,cop.cond,v3s
dekiysek case.loc,<ki>,cop.cond,v1p
dekiyseniz case.loc,<ki>,cop.cond,v2p
dekiyseler case.loc,<ki>,cop.cond,v3p
dekiydim case.loc,<ki>,cop.past,v1s
dekiydin case.loc,<ki>,cop.past,v2s
dekiydi case.loc,<ki>,cop.past,v3s
dekiydik case.loc,<ki>,cop.past,v1p
dekiydiniz case.loc,<ki>,cop.past,v2p
dekilerdi case.loc,<ki>,cop.past,v3p
dekiydiler case.loc,<ki>,cop.past,v3p
dekiymişim case.loc,<ki>,cop.evid,v1s
dekiymişsin case.loc,<ki>,cop.evid,v2s
dekiymiş case.loc,<ki>,cop.evid,v3s
dekiymişiz case.loc,<ki>,cop.evid,v1p
dekiymişsiniz case.loc,<ki>,cop.evid,v2p
dekiymişler case.loc,<ki>,cop.evid,v3p
dekiniyken case.loc,<ki>,case.acc,converb
dekiniykenki case.loc,<ki>,case.acc,converb,<ki>
dekiniysem case.loc,<ki>,case.acc,cop.cond,v1s
dekiniysen case.loc,<ki>,case.acc,cop.cond,v2s
dekiniyse case.loc,<ki>,case.acc,cop.cond,v3s
dekiniysek case.loc,<ki>,case.acc,cop.cond,v1p
dekiniyseniz case.loc,<ki>,case.acc,cop.cond,v2p
dekiniyseler case.loc,<ki>,case.acc,cop.cond,v3p
dekiniyim case.loc,<ki>,case.acc,cop.pres,v1s
dekinisin case.loc,<ki>,case.acc,cop.pres,v2s
dekiniyiz case.loc,<ki>,case.acc,cop.pres,v1p
dekinisiniz case.loc,<ki>,case.acc,cop.pres,v2p
dekiniler case.loc,<ki>,case.acc,cop.pres,v3p
dekiniydim case.loc,<ki>,case.acc,cop.past,v1s
dekiniydin case.loc,<ki>,case.acc,cop.past,v2s
dekiniydi case.loc,<ki>,case.acc,cop.past,v3s
dekiniydik case.loc,<ki>,case.acc,cop.past,v1p
dekiniydiniz case.loc,<ki>,case.acc,cop.past,v2p
dekiniydiler case.loc,<ki>,case.acc,cop.past,v3p
dekinilerdi case.loc,<ki>,case.acc,cop.past,v3p
dekiniymişim case.loc,<ki>,case.acc,cop.evid,v1s
dekiniymişsin case.loc,<ki>,case.acc,cop.evid,v2s
dekiniymiş case.loc,<ki>,case.acc,cop.evid,v3s
